texte,date
Ou se trouve mon colis,2019-07-25 06:28:03
Quels sont les horaires d'ouverture ?,2019-10-02 07:33:10
Livrez-vous le samedi ?,2019-12-28 11:08:33
Comment puis-je creer un compte ?,2019-10-31 13:38:04
Quelles sont les heures de livraison ?,2019-09-06 08:36:05
Quel est votre site Internet ?,2019-12-05 02:45:09
Etes-vous ouvert le dimanche ?,2020-01-03 12:25:52
Quand recevrai-je mon colis ?,2020-01-07 07:41:12
Y a t-il un bureau de poste a Neuchatel ?,2020-01-09 13:02:09
Quels sont les tarifs d'envoi internationaux ?,2020-01-12 19:34:34
